FID,OBJECTID,STANDORT,LOCATION,ADRESSE,KAPAZITAET,ERREICHBARKEIT,ZUGANG,WEBLINK1,SHAPE
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c9,641,"21., Donauinsel",Donauinsel / Floridsdorfer Brücke,"Donauinsel, Floridsdorfer Brücke, beim Schulschiff, 1210 Wien",< 500,"U6: Handelskai und Neue Donau; S-Bahn: Handelskai; Straßenbahn 31: Floridsdorfer Brücke, Straßenbahn 2/33: Friedrich-Engels-Platz",Floridsdorfer Brücke oder Georg-Danzer-Steg,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10956,POINT (16.388528126416826 48.24688898131773)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c8,642,"3., Neu Marx","Neu Marx, 1030","Karl-Farkas-Gasse, 1030 Wien",< 150,"U3: Erdberg; Straßenbahn 18: Viehmarktgasse, Straßenbahn 71: Litfaß Straße; Bus 80A: Hermine-Jursa-Gasse, Bus 74A: Viehmarktgasse",Maria-Jacobi-Gasse,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10948,POINT (16.40752812625063 48.18855598085031)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c7,643,"10., Oberlaa",Oberlaa,"Kurbadstraße, 1100 Wien",< 150,"U1: Oberlaa, Bus 17A/68B/70A: Oberlaa","Kurbadstraße, 1100 Wien",,POINT (16.40425012603444 48.1426939808253)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c6,644,"19., 12.-Feb.-Platz",12. Februar Platz,"12.-Februar-Platz, 1190 Wien",< 100,"U4, S-Bahn: Heiligenstadt; Straßenbahn D: Heiligenstadt/12.-Februar-Platz; Bus 10A/11A/38A/39A: Heiligenstadt",Heiligenstädter Straße,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10954,POINT (16.363583125669297 48.2499169809507)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c5,645,"11., Herderpark",Herderpark," Herderplatz, 1110 Wien",< 100,U3: Enkplatz; Straßenbahn 11: Polkoraplatz; Bus 15A/69A: Am Kanal,Herderplatz,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10951,POINT (16.41041712656794 48.17247198100464)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c4,646,"2., Kaiserwiese","Kaiserwiese, 1020","Oswald-Thomas-Platz, 1020 Wien",< 100,"S-Bahn, U1, U2, Straßenbahn 5/O, Bus 5B/80A/82A: Praterstern",Oswald-Thomas-Platz,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10947,POINT (16.39541712572548 48.21661098157885)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c3,647,"14., Muthsamgasse",Muthsamgasse,"Muthsamgasse, 1140 Wien",< 100,"Straßenbahn 10: Station Laurentiusplatz; Straßenbahn 49, S-Bahn: Breitensee; U3: Hütteldorfer Straße; Bus 51A: Montleartstraße",Spallartgasse,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10952,POINT (16.306722126527998 48.20130598088959)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c2,648,"22., Seepark Aspern",Seepark Aspern,"Janis-Joplin-Promenade, 1220 Wien",< 100,"U2, Bus 84A/88A/88B: Seestadt"," Janis-Joplin-Promenade, neben der U-Bahn-Station",https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10959,POINT (16.508861125505437 48.22574998100558)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c1,649,"23., Alt Erlaa",Alt Erlaa,"Erlaaer Schleife, 1230 Wien",< 30,"U6, Bus 60A/64A/66A/67B: Alterlaa",Anton-Baumgartner-Straße,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10960,POINT (16.317833125755605 48.15074998129324)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76c0,650,"16., Kongreßpark",Kongresspark," Kongresspark, 1160 Wien",< 30,Straßenbahn 2/10: Liebknechtgasse; S-Bahn: Hernals, Kongresspark (Sandleitengasse / Lobmeyrgasse / Liebknechtgasse),https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10953,POINT (16.309250125996776 48.22152798162893)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76bf,651,"21., Mühlschüttelpark",Mühlschüttelpark,"Mühlschüttelgasse, 1210 Wien",< 30,Bus 33A: Mühlschüttel; Straßenbahn 25/26: Fultonstraße,Mühlschüttelgasse / Stephensongasse,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10957,POINT (16.411722126155556 48.24858298148705)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76be,652,"6., Naschmarkt",Naschmarkt,"Naschmarkt, 1060 Wien",< 50,"U4: Kettenbrückengasse, Bus 59A: Preßgasse",Höhe Rechte Wienzeile 29,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10949,POINT (16.36191712564655 48.19758298127664)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76bd,653,"20., Wallensteinplatz",Wallensteinplatz,"Wallensteinplatz, 1200 Wien",< 30,"Straßenbahn 5/33, Bus 5B: Wallensteinplatz",Jägerstraße,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10955,POINT (16.371389126400643 48.229499981017184)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76bc,654,"22., Donaustadtbrücke",Donaustadtbrücke," Am Kaisermühlendamm, 1220 Wien",< 200,U2: Donaustadtbrücke, Am Kaisermühlendamm,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10958,POINT (16.444639126181524 48.211416980695994)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76bb,655,"21., Sportinsel",Sportinsel / Georg-Danzer-Steg,"Sportinsel auf der Donauinsel, 1210 Wien",< 50,U6: Handelskai und Neue Donau; S-Bahn: Handelskai,Georg-Danzer-Steg,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10961,POINT (16.39202812561351 48.24436098140666)
KULTURSOMMEROGD.fid--47a0a51d_1807f7421bb_-76ba,656,"1., Arkadenhof",Arkadenhof im Rathaus,"Friedrich-Schmidt-Platz, 1010 Wien",< 50,Straßenbahn 2: Rathaus; Straßenbahn 1/71/D/U2Z: Rathausplatz/Burgtheater, Lichtenfelsgasse 2,https://kultursommerwien.at/veranstaltungen/liste/?tribe_venues=10962,POINT (16.357215126319165 48.210799981258695)
